"","Local.Health.Board","Cluster","Practice.Name","PostCode","lon","lat"
"393","ABERTAWE BRO MORGANNWG LHB","Cwmtawe","Clydach Primary Care Centre"," SA6 5LN",-3.8924679,51.6958666
"394","ABERTAWE BRO MORGANNWG LHB","BayHealth","Grove Medical Centre"," SA2 0GU",-3.965906,51.6190693
"395","ABERTAWE BRO MORGANNWG LHB","CityHealth","Brunswick Health Centre"," SA1 4DE",-3.9550615,51.617497
"396","ABERTAWE BRO MORGANNWG LHB","CityHealth","Kingsway Surgery"," SA1 5LF",-3.9457629,51.6209697
"397","ABERTAWE BRO MORGANNWG LHB","Penderi","Fforestfach Medical Group (Powell)"," SA5 5AA",-3.9723857,51.6448952
"398","ABERTAWE BRO MORGANNWG LHB","Upper Valleys","Dulais Valley Primary Care Centre"," SA10 9EU",-3.7191112,51.7522332
"399","ABERTAWE BRO MORGANNWG LHB","Afan","Mount Surgery"," SA13 2BN",-3.7670989,51.5821241
"400","ABERTAWE BRO MORGANNWG LHB","Afan","Fairfield Surgery"," SA12 7BJ",-3.8094775,51.6060997
"401","ABERTAWE BRO MORGANNWG LHB","BayHealth","Mumbles Medical Practice"," SA3 5UA",-4.0044994,51.5808903
"402","ABERTAWE BRO MORGANNWG LHB","Llwchwr","Ty'r Felin Surgery"," SA4 4BY",-4.0378329,51.6709438
"403","ABERTAWE BRO MORGANNWG LHB","Afan","Riverside Surgery"," SA12 7BJ",-3.8094775,51.6060997
"404","ABERTAWE BRO MORGANNWG LHB","Neath","Victoria Gardens Surgery"," SA11 1HW",-3.8034899,51.6609288
"405","ABERTAWE BRO MORGANNWG LHB","CityHealth","Greenhill Medical Centre"," SA1 1QW",-3.9416517,51.6295626
"406","ABERTAWE BRO MORGANNWG LHB","Neath","Briton Ferry Health Centre"," SA11 2FP",-3.8276359,51.6235065
"407","ABERTAWE BRO MORGANNWG LHB","Afan","King's Surgery"," SA12 7BJ",-3.8094775,51.6060997
"408","ABERTAWE BRO MORGANNWG LHB","Penderi","Manselton Surgery"," SA5 8QE",-3.953862,51.638991
"409","ABERTAWE BRO MORGANNWG LHB","Cwmtawe","Strawberry Place Surgery"," SA6 7AQ",-3.9266997,51.6661029
"410","ABERTAWE BRO MORGANNWG LHB","BayHealth","Gower Medical Practice"," SA3 1AY",-4.2187388,51.5670973
"411","ABERTAWE BRO MORGANNWG LHB","Upper Valleys","Vale of Neath Practice"," SA11 5AL",-3.6185331,51.7468898
"412","ABERTAWE BRO MORGANNWG LHB","Neath","Tabernacle Surgery"," SA10 6UF",-3.8413062,51.6600001
"413","ABERTAWE BRO MORGANNWG LHB","BayHealth","Uplands and Mumbles Surgery"," SA2 0LJ",-3.9704127,51.6183913
"414","ABERTAWE BRO MORGANNWG LHB","BayHealth","University Health Centre"," SA2 8PG",-3.9809941,51.6102637
"415","ABERTAWE BRO MORGANNWG LHB","BayHealth","Kings Road Surgery"," SA3 4AJ",-4.0033566,51.5736168
"416","ABERTAWE BRO MORGANNWG LHB","CityHealth","Harbourside Health Centre"," SA1 8QY",-3.924568,51.6205817
"417","ABERTAWE BRO MORGANNWG LHB","CityHealth","SA1 Medical Centre"," SA1 8QY",-3.924568,51.6205817
"418","ABERTAWE BRO MORGANNWG LHB","CityHealth","High Street Surgery"," SA1 1NE",-3.9411794,51.6269626
"419","ABERTAWE BRO MORGANNWG LHB","Penderi","Cheriton Medical Centre"," SA5 5LB",-3.9742266,51.6490099
"420","ABERTAWE BRO MORGANNWG LHB","Afan","Cwmavon Health Centre (Penney)"," SA12 9PY",-3.7581917,51.6168428
"421","ABERTAWE BRO MORGANNWG LHB","Neath","Alfred Street Primary Care Centre","",NA,NA
"422","","","","",NA,NA
"423","","","","",NA,NA
"424","","","","",NA,NA
"425","","","","",NA,NA
"426","","","","",NA,NA
"427","","","","",NA,NA
"428","","","","",NA,NA
"429","","","","",NA,NA
"430","","","","",NA,NA
"431","","","","",NA,NA
"432","","","","",NA,NA
"433","","","","",NA,NA
"434","","","","",NA,NA
"435","","","","",NA,NA
"436","","","","",NA,NA
"437","","","","",NA,NA
"438","","","","",NA,NA
"439","","","","",NA,NA
"440","","","","",NA,NA
"441","","","","",NA,NA
"442","","","","",NA,NA
"443","","","","",NA,NA
"444","","","","",NA,NA
"445","","","","",NA,NA
"446","","","","",NA,NA
"447","","","","",NA,NA
"448","","","","",NA,NA
